song_id,tabla_energy_mean,tabla_energy_var,tabla_lowband_ratio,tabla_activity,taali_mfcc_mean,taali_mfcc_var,taali_activity,taali_burstiness
q012,0.010104249,0.00070228154,0.215693,0.3045665634674923,-0.0005434944,9.646319e-05,0.02815674891146589,0.0005992507
q006,0.016254874,0.00576062,0.16047418,0.5189628482972136,0.0018095592,9.348408e-05,0.7429124334784712,0.001856836
q007,0.019859813,0.0070365537,0.24432212,0.35371517027863775,-0.0024693415,9.066093e-05,0.0,0.0017376054
q013,0.029121779,0.015437726,0.16293912,0.603328173374613,-0.0006520669,9.63334e-05,0.6186744073536526,0.001512958
q039,0.021257639,0.010315397,0.17260906,0.34404024767801855,-0.0046547507,7.509188e-05,0.0,0.0014831898
q005,0.0061029303,0.0002951032,0.18996799,0.33746130030959753,-0.00088100095,9.598243e-05,0.057087566521528785,0.00042642522
q011,0.020654414,0.0020920313,0.15726386,0.8196594427244582,-0.002702915,8.945285e-05,0.09163038219641993,0.0008416681
q010,0.014860566,0.004619847,0.22303346,0.614938080495356,-0.0012762122,9.512987e-05,0.13149492017416545,0.0017857973
q014,0.02057777,0.008433144,0.17116739,0.5630804953560371,0.00028069352,9.66798e-05,0.7660377358490567,0.0014029302
q028,0.01712298,0.0036624835,0.23875932,0.6555727554179567,-0.0013316954,9.4985175e-05,0.0,0.0012259935
q029,0.010367766,0.0028458254,0.22648118,0.12306501547987617,-0.00045925833,9.6547665e-05,0.6649250120948235,0.0027632096
q015,0.023874165,0.005106269,0.102446325,0.7472910216718266,-0.0010950174,9.555952e-05,0.0,0.0015903802
q001,0.006330957,0.00094730814,0.19019367,0.16486068111455107,-0.001999538,9.2760434e-05,0.08398645379777456,0.00087697007
q003,0.01759609,0.0041540693,0.18448654,0.6954334365325078,0.00019347067,9.672117e-05,0.5831640058055152,0.0015060459
q026,0.021952804,0.004632805,0.118537754,0.8498452012383901,-0.0018189886,9.3449875e-05,0.05118529269472666,0.0009658128
q032,0.006715394,0.00043501542,0.1037289,0.7422600619195047,-0.0031186705,8.703249e-05,0.0,0.00033379358
q024,0.04272256,0.03746464,0.11789031,0.8444272445820433,-0.0007776227,9.615388e-05,0.47276245766811803,0.0012344107
q025,0.007209473,0.0003038719,0.09647623,0.8045665634674922,-0.0031263095,8.698478e-05,0.0,0.0006156412
q009,0.006435942,0.0006642518,0.20150025,0.211687306501548,-0.002660151,8.968217e-05,0.04857281083696178,0.00076428644
q008,0.015744353,0.003930685,0.007879255,0.5150928792569659,0.0013516531,9.493161e-05,0.5861635220125786,0.001049772
q020,0.022224775,0.014061915,0.20659913,0.39821981424148606,-0.002070189,9.24729e-05,0.0,0.0020910678
q036,0.0068051056,0.0003306835,0.16026261,0.7960526315789473,-0.0020135948,9.2704024e-05,0.018384131591678763,0.0007752703
q023,0.007160561,0.00024285697,0.14774933,0.21981424148606812,-0.0012883241,9.509881e-05,0.05824866956942429,0.0010377382
q050,0.02037743,0.0026842712,0.13693987,0.7863777089783281,-0.0034942974,8.454847e-05,0.0,0.00054982206
q045,0.042671517,0.01758967,0.081504434,0.8293343653250774,-0.0028478222,8.86485e-05,0.04760522496371553,0.0024169765
q051,0.035483126,0.020939322,0.17366801,0.6493808049535603,-0.0030395384,8.7519795e-05,0.02428640541848089,0.0026244894
q047,0.014041694,0.0043564416,0.19957724,0.5038699690402477,-0.0007809416,9.614872e-05,0.3787131107885825,0.0017337085
q053,0.041161396,0.029329702,0.21741489,0.6501547987616099,-0.0012671612,9.51529e-05,0.007063376874697629,0.001539155
q046,0.028862633,0.009778297,0.20038848,0.9106037151702786,0.00011413208,9.674557e-05,0.12868892114175132,0.0007453029
q042,0.053994644,0.033130005,0.47016108,0.6180340557275542,-0.0004567646,9.654996e-05,0.3447508466376391,0.0015412361
q043,0.021518964,0.006158413,0.12429417,0.6547987616099071,0.0006229204,9.637055e-05,0.709917755200774,0.0013590687
q041,0.03026282,0.01820789,0.19245288,0.5003869969040248,-0.0008178362,9.608973e-05,0.367489114658926,0.0011812057
q068,0.016166314,0.0020359266,0.13449667,0.6118421052631579,-0.00030120002,9.666787e-05,0.7095307208514756,0.0010606822
q040,0.017284615,0.0027385056,0.26296952,0.7194272445820433,-0.0016810736,9.393256e-05,0.0,0.0014238601
