song_id,tabla_energy_mean,tabla_energy_var,tabla_lowband_ratio,tabla_activity,taali_mfcc_mean,taali_mfcc_var,taali_activity,taali_burstiness,cluster
q059,-0.5800185361476308,-0.5238658057626965,-2.28495286960419,-0.8404136473314716,0.8834307263092079,0.7728685311945066,0.038164570759391704,-0.521334489791405,1
q071,-0.5318323711729288,-0.5802293758266136,0.10563515904451294,-0.933649842123572,-1.6801563249948481,-2.074051320324748,-0.7360534849570761,-1.060748249128301,4
q065,1.0357920943392416,0.544529834335588,0.4607342816672436,1.3233697412399124,0.3246663579101761,0.6367805468980465,0.9957688387515579,1.1150545998526973,2
q064,0.06395172146394937,-0.2844429007275566,-0.26908558696119234,1.705110387841531,-0.001864633247309164,0.432244808446843,-0.22014596948886767,1.1740770648476686,2
q070,0.4913953117808754,0.09633827707069506,-0.22701317589351244,0.7058998474280788,-0.09971882452079282,0.35298834537764334,-0.7360534849570761,-0.3304090630762211,4
q058,-0.33992117817145723,-0.6652850972643669,-0.08791239217694438,1.2829087510471142,0.29721580617675336,0.6231354098878145,1.2151900849569162,0.2389724554780621,2
q066,-0.9376765136624197,-0.6425101049435485,0.3679075694937084,-0.7207898502397204,0.455653057469038,0.6929135598540334,-0.6193856028283736,-0.6295620308691104,3
q072,-0.6594522942012677,-0.5277788842189804,-0.5964440382979971,-0.754214146485945,-1.4732460158614307,-1.63340060748765,-0.7360534849570761,-0.8261053139147584,4
q067,-0.3961216810961136,-0.6537528201152956,-1.448884561927675,1.5784498968032061,-0.4293050871945283,0.025132586681054437,-0.5658682257051153,-0.9105583558371689,4
q063,-0.17402391710439288,-0.19648226639146146,-0.5013354336879849,-1.243264375772811,-1.4507080393825675,-1.5876420574081083,-0.7360534849570761,-0.809719482668734,4
q062,0.015081591837036543,-0.17943159448167917,-0.8661154102043411,1.263557842694037,-0.9515550035511,-0.6867573668938396,-0.7360534849570761,-1.4176534526598905,4
q060,0.5118622882207235,-0.34718498691416094,-1.2960474085543143,1.4764178345778887,2.7433345706242434,-0.7194842963320512,2.940590323410759,0.37181823290005767,1
q048,-0.592116959325395,-0.6424563357779967,-0.27622725356112676,1.2248560259878822,-0.37968158208452096,0.08050551765977373,-0.6236669929982342,-0.5080241066197423,4
q049,1.198520795513056,0.9293994115293905,0.3957661740125698,0.5651659684966065,0.3169864628768329,0.633025560237441,1.2340995582071341,3.350443762462435,2
q061,-0.5612159494743885,-0.6610323502286416,-0.2408708703271937,1.1597666069820762,-0.2268756443516401,0.2376315213057869,-0.3311053313910896,-0.7112584364618257,4
q012,-0.8606978401242458,-0.6902122017855744,0.7094832189232853,-1.6074132875079952,0.6806132752643252,0.7546871280410565,-0.6850335854329036,-1.3647153058056276,3
q006,-0.29228939480232213,-0.22504213014748714,0.01674263785725626,-0.22470292700628094,2.116667166688826,0.11754563473260232,2.007604048895292,0.9851436165781399,1
q007,-0.01465365774848535,-0.109462259655748,1.2884402752426736,-1.1447506605207804,-0.6594757118748846,-0.2595460743246545,-0.7360534849570761,1.0614236058900497,3
q013,0.8128435424080269,0.789333523564118,0.06733676559184379,0.0919483005895315,0.43601594330665744,0.6854459815435069,1.5516359958051322,0.47298225447972747,2
q039,0.08508317638358023,0.17249523938654746,0.20559135909196705,-1.0902162824348351,-2.4623435625942833,-4.074393278730243,-0.7360534849570761,0.2842040688774681,4
q005,-1.063676995028553,-0.71715641454811,0.4613299601143824,-1.0691062005951142,0.29768693222443615,0.6233736294716596,-0.5234111065206637,-1.1113888239066672,3
q011,0.12392041711006034,-0.536376122266448,-0.02660191051523434,1.092918014489627,-0.9722095827152156,-0.7197616808305279,-0.39461261891068905,-0.4779449539651726,4
q010,0.0656568698078827,0.08868675751482738,0.9656055268957338,0.11129920894260864,0.00958217256918117,0.44097212421770215,-0.2422664853664811,0.8733321314385023,3
