song_id,tabla_energy_mean,tabla_energy_var,tabla_lowband_ratio,tabla_activity,taali_mfcc_mean,taali_mfcc_var,taali_activity,taali_burstiness
q059,0.008846738,0.0012252571,0.01159981,0.3943498452012384,-3.2463595e-06,9.674922e-05,0.20994582043343654,0.0008337947
q071,0.009291849,0.00091193494,0.16667059,0.3738390092879257,-0.0037552575,8.264725e-05,0.0,0.0004575387
q065,0.023772497,0.007164413,0.18970488,0.8703560371517027,-0.00082104193,9.607512e-05,0.4696207430340557,0.0019752213
q064,0.014795297,0.0025561966,0.1423635,0.9543343653250774,-0.0012989457,9.506197e-05,0.13989938080495357,0.0020163911
q070,0.01874373,0.0046729394,0.14509262,0.7345201238390093,-0.001442163,9.466938e-05,0.0,0.00096697046
q058,0.011064594,0.0004391146,0.1541157,0.8614551083591331,-0.00086121797,9.600753e-05,0.5291215170278638,0.0013641298
q066,0.005542937,0.0005657196,0.18368347,0.42066563467492263,-0.0006293326,9.635317e-05,0.031636996904024765,0.000758303
q072,0.008112983,0.0012035045,0.12112867,0.413312693498452,-0.003452428,8.4829975e-05,0.0,0.00062120863
q067,0.010545452,0.00050322193,0.06583323,0.9264705882352942,-0.0019245384,9.3045375e-05,0.04614938080495356,0.0005623003
q063,0.01259704,0.0030451652,0.1272981,0.30572755417956654,-0.0034194419,8.5056636e-05,0.0,0.0006326382
q062,0.014343868,0.003139949,0.10363584,0.8571981424148607,-0.0026888922,8.951909e-05,0.0,0.00020858746
q060,0.01893279,0.0022074166,0.07574735,0.9040247678018576,0.0027188691,8.935698e-05,0.997000773993808,0.0014567934
q048,0.008734981,0.0005660185,0.14190024,0.8486842105263158,-0.0018519105,9.331966e-05,0.030476006191950466,0.00084307906
q049,0.025275674,0.009303883,0.18549058,0.7035603715170279,-0.00083228206,9.605652e-05,0.534249226006192,0.003534467
q061,0.0090204235,0.0004627554,0.14419371,0.8343653250773994,-0.001628267,9.409797e-05,0.10981037151702787,0.0007013175
q012,0.0062540136,0.00030054612,0.20584053,0.22561919504643962,-0.00030008564,9.665916e-05,0.013835139318885449,0.00024551328
q006,0.011504584,0.0028864024,0.16090438,0.5297987616099071,0.0018016921,9.3503135e-05,0.7440015479876161,0.0018846048
q007,0.014069194,0.0035289049,0.24339586,0.32739938080495357,-0.0022614112,9.1635244e-05,0.0,0.0019378122
q013,0.02171305,0.008525264,0.16418628,0.5994582043343654,-0.00065807306,9.631618e-05,0.6203560371517027,0.0015273581
q039,0.014990495,0.005096292,0.17315447,0.33939628482972134,-0.00490005,7.273873e-05,0.0,0.0013956801
q005,0.0043790303,0.00015076464,0.18974352,0.34404024767801855,-0.00086052844,9.600871e-05,0.0576625386996904,0.0004222155
q011,0.015349247,0.0011557129,0.15809274,0.8196594427244582,-0.0027191218,8.9355606e-05,0.0925890092879257,0.0008640601
q010,0.014811048,0.004630405,0.22245447,0.6037151702786377,-0.0012821924,9.51052e-05,0.13390092879256965,0.0018066132
q004,0.01048141,0.0011440872,0.18856645,0.6497873985311171,0.0017900754,9.345133e-05,0.7369998066885753,0.0013908625
q038,0.006804572,0.00032747746,0.02077926,0.8022445820433437,-0.0007363986,9.6206946e-05,0.0,0.00072295964
q014,0.014540288,0.004220999,0.17223172,0.5595975232198143,0.00029674862,9.666117e-05,0.7687693498452013,0.0014511335
q028,0.012100403,0.001822367,0.23923962,0.6486068111455109,-0.0012542569,9.517607e-05,0.0,0.0011025326
q029,0.007315978,0.0014082079,0.2274533,0.12616099071207432,-0.00053873786,9.6458985e-05,0.65218653250774,0.0027905202
q015,0.0056809317,0.00045040445,0.14633395,0.506578947368421,-0.0019546156,9.2928705e-05,0.04992260061919505,0.0010661024
q001,0.047152925,0.0248191,0.18714875,0.8312693498452013,-0.0005721653,9.642186e-05,0.07943111455108359,0.00068632193
q017,0.008035863,0.0008711366,0.2188286,0.5251547987616099,-0.0010106573,9.572781e-05,0.0,0.0012447152
q003,0.013082701,0.002322695,0.18425614,0.6904024767801857,0.00028729803,9.6666685e-05,0.5870743034055728,0.0015215899
q002,0.04715161,0.02481701,0.18715529,0.8312693498452013,-0.000572924,9.642098e-05,0.0793343653250774,0.0006864955
q016,0.011233269,0.0020547798,0.160597,0.6505417956656346,0.0006911318,9.627155e-05,0.8180147058823529,0.0012134879
q033,0.007044711,0.00068490807,0.09191648,0.4036377708978328,-0.0014698838,9.4588664e-05,0.05321207430340557,0.0014035635
q027,0.010040435,0.00056036224,0.1566723,0.8397832817337462,-0.0049691224,7.2057046e-05,0.0,0.0007122244
q026,0.016292224,0.00254635,0.11808532,0.8409442724458205,-0.0014481895,9.465198e-05,0.04702012383900929,0.00092074403
q032,0.004723389,0.00021544319,0.10500991,0.778250773993808,-0.0032712084,8.604842e-05,0.0,0.0003102654
q018,0.0045438283,6.8421614e-05,0.20734094,0.4698142414860681,-0.0032623871,8.6106054e-05,0.0697561919504644,0.002943066
q024,0.03014362,0.018704161,0.1175732,0.8494582043343654,-0.0008480326,9.6030075e-05,0.4317917956656347,0.0012426267
q030,0.0091507975,0.0014547643,0.12280928,0.5332817337461301,-0.0033522602,8.551157e-05,0.0,0.00045075803
q031,0.0028124051,0.0001867122,0.083145596,0.1876934984520124,-0.00072871015,9.62182e-05,0.11145510835913312,0.00054263225
q025,0.0064383103,0.0007137764,0.15083528,0.5042569659442725,-0.0019775208,9.283863e-05,0.0,0.0006556191
q019,0.015308979,0.0050363117,0.17362598,0.5445046439628483,-0.0025795721,9.0095025e-05,0.0,0.0030077372
q021,0.0057873437,0.00025486437,0.20816875,0.24632637277648878,-0.000346382,9.655442e-05,0.005993812838360402,0.0002351172
q035,0.026336564,0.017980857,0.120516956,0.47058823529411764,-9.645874e-06,9.674914e-05,0.6951431888544891,0.0012556253
q009,0.0045757345,0.00033827286,0.19816132,0.21787925696594426,-0.002731256,8.928945e-05,0.04943885448916409,0.00065472454
q008,0.011735713,0.0021781572,0.008030622,0.5224458204334366,0.0014650637,9.460282e-05,0.6130030959752322,0.0010829258
q034,0.010222351,0.0013234677,0.16109036,0.7198142414860681,-0.0016222327,9.411758e-05,0.0,0.00063606695
q020,0.015719162,0.006997203,0.20680623,0.41873065015479877,-0.0016538014,9.401416e-05,0.0,0.001980569
q036,0.004850142,0.00016692911,0.15974881,0.788312693498452,-0.0020676157,9.247419e-05,0.017511609907120744,0.0008162387
q022,0.008203326,0.0011457393,0.19532484,0.375,-0.001195975,9.531887e-05,0.0,0.0017208009
q023,0.0050429325,0.00012281348,0.14609176,0.18614551083591332,-0.0011656659,9.5390445e-05,0.05833978328173375,0.0009899747
q037,0.0047455505,0.00056550716,0.14748266,0.37267801857585137,-0.0020435527,9.257313e-05,0.0,0.0008958578
q050,0.0151259815,0.001478714,0.13662957,0.7794117647058824,-0.0034778975,8.465346e-05,0.0,0.0005381062
q044,0.0014333203,8.782883e-05,0.13945398,0.0696594427244582,-0.0009994429,9.575035e-05,0.29508513931888547,0.0015070644
q045,0.026393339,0.009759585,0.08374955,0.7941176470588235,-0.0017704292,9.361479e-05,0.0,0.0008821032
q051,0.026403354,0.011620105,0.17399517,0.6493808049535603,-0.0026133235,8.991978e-05,0.1634094427244582,0.0027817762
q047,0.009927804,0.002179402,0.1992545,0.5069659442724458,-0.0007803499,9.614028e-05,0.3848684210526316,0.0017398499
q053,0.029004276,0.014690985,0.2157906,0.6629300347893313,-0.001563227,9.421204e-05,0.0,0.0017529713
q052,0.014990307,0.002743332,0.07517997,0.7457430340557275,-0.0017679471,9.362359e-05,0.022542569659442725,0.00023130294
q046,0.020431172,0.0049291933,0.19898342,0.9059597523219814,0.00021541884,9.6702825e-05,0.10410216718266253,0.0009765645
q042,0.038212404,0.016471487,0.4705935,0.6087461300309598,-0.00052295014,9.647574e-05,0.34645897832817335,0.0014979532
q056,0.012622121,0.0025588288,0.23304254,0.49109907120743035,-0.00047737372,9.652135e-05,0.008610681114551084,0.00058783736
q057,0.0077749435,0.0006837374,0.165954,0.34674922600619196,-0.0027697391,8.9077774e-05,0.0,0.00062826736
q043,0.016094988,0.003473417,0.12556475,0.6540247678018576,0.0006809289,9.628556e-05,0.7178792569659442,0.0013621254
q055,0.016892735,0.00935304,0.2056452,0.3904798761609907,-0.0004199813,9.657283e-05,0.3758707430340557,0.0011481907
q041,0.02261801,0.010114434,0.19436112,0.5104489164086687,-0.0008107244,9.609195e-05,0.40286377708978327,0.0012306924
q069,0.026234154,0.009807151,0.13760501,0.6358359133126935,-0.002672913,8.960476e-05,0.01934984520123839,0.0009938
q068,0.014909495,0.0028657075,0.16081826,0.3715720355349556,0.0014297382,9.452755e-05,0.6489618541767262,0.0021907596
q040,0.0122296875,0.0013760804,0.26215306,0.7314241486068112,-0.0015271703,9.441699e-05,0.0,0.001588665
q054,0.021440849,0.0039546983,0.040888473,0.5669504643962848,-0.0015578978,9.432218e-05,0.19630417956656346,0.0012271872
